Run	LibrarySource	Organism	Bases	env_biome	env_feature	env_material	host_sex	SCiMS_sex	SCiMS_reads_mapped	SCiMS_reads_mapped_to_X	SCiMS_reads_mapped_to_Y	SCiMS_male_post_prob	SCiMS_female_post_prob	Status
ERR1762104	METAGENOMIC	mouse gut metagenome	2445522696				female	female	49079.0	2764.0	0.0	0.008	0.992	
ERR1762106	METAGENOMIC	mouse gut metagenome	2450618752				female	female	49217.0	2756.0	0.0	0.008	0.992	
ERR1762103	METAGENOMIC	mouse gut metagenome	2458835304				female	female	49219.0	2717.0	0.0	0.008	0.992	
ERR1762105	METAGENOMIC	mouse gut metagenome	2455152036				female	female	49540.0	2697.0	0.0	0.009	0.991	
ERR5416156	METAGENOMIC	Mus musculus	3926822000				male	male	123449.0	3529.0	186.0	1.0	0.0	
ERR1762067	METAGENOMIC	mouse gut metagenome	3112260056				female	female	139811.0	7411.0	6.0	0.011	0.989	
ERR1762068	METAGENOMIC	mouse gut metagenome	3099707170				female	female	139959.0	7203.0	8.0	0.014	0.986	
ERR1762070	METAGENOMIC	mouse gut metagenome	3106662232				female	female	140014.0	7285.0	8.0	0.013	0.987	
ERR1762069	METAGENOMIC	mouse gut metagenome	3109222986				female	female	140254.0	7417.0	4.0	0.011	0.989	
ERR1762127	METAGENOMIC	mouse gut metagenome	2786029854				female	female	192595.0	10816.0	2.0	0.007	0.993	
ERR1762128	METAGENOMIC	mouse gut metagenome	2776801080				female	female	192868.0	10827.0	4.0	0.007	0.993	
ERR1762130	METAGENOMIC	mouse gut metagenome	2783119842				female	female	192910.0	10818.0	2.0	0.008	0.992	
ERR1762129	METAGENOMIC	mouse gut metagenome	2788339724				female	female	193918.0	10998.0	2.0	0.007	0.993	
ERR5416157	METAGENOMIC	Mus musculus	3641968000				female	female	248463.0	12990.0	18.0	0.012	0.988	
ERR1762120	METAGENOMIC	mouse gut metagenome	3244273924				female	female	290642.0	16117.0	10.0	0.008	0.992	
ERR1762119	METAGENOMIC	mouse gut metagenome	3256698136				female	female	290899.0	15970.0	8.0	0.009	0.991	
ERR1762121	METAGENOMIC	mouse gut metagenome	3255966290				female	female	291824.0	15921.0	4.0	0.009	0.991	
ERR1762122	METAGENOMIC	mouse gut metagenome	3250927198				female	female	292208.0	16096.0	6.0	0.008	0.992	
ERR5396008	METAGENOMIC	Mus musculus	5051372400				male	male	342664.0	9964.0	455.0	1.0	0.0	
ERR1762082	METAGENOMIC	mouse gut metagenome	2586674236				female	female	347632.0	19107.0	16.0	0.008	0.992	
ERR1762080	METAGENOMIC	mouse gut metagenome	2583942792				female	female	347806.0	19128.0	20.0	0.008	0.992	
ERR1762079	METAGENOMIC	mouse gut metagenome	2595101878				female	female	347843.0	19142.0	14.0	0.008	0.992	
ERR1762081	METAGENOMIC	mouse gut metagenome	2591774736				female	female	347963.0	19040.0	15.0	0.009	0.991	
ERR1762078	METAGENOMIC	mouse gut metagenome	3308393168				female	female	598626.0	32262.0	28.0	0.009	0.991	
ERR1762075	METAGENOMIC	mouse gut metagenome	3321010088				female	female	599059.0	32550.0	28.0	0.009	0.991	
ERR1762076	METAGENOMIC	mouse gut metagenome	3305665360				female	female	599192.0	32487.0	20.0	0.009	0.991	
ERR1762077	METAGENOMIC	mouse gut metagenome	3313365600				female	female	600109.0	32470.0	22.0	0.009	0.991	
ERR1762074	METAGENOMIC	mouse gut metagenome	2721662150				female	female	689093.0	36722.0	28.0	0.01	0.99	
ERR1762073	METAGENOMIC	mouse gut metagenome	2723154122				female	female	689480.0	36973.0	29.0	0.01	0.99	
ERR1762072	METAGENOMIC	mouse gut metagenome	2717832028				female	female	689907.0	36958.0	32.0	0.01	0.99	
ERR1762071	METAGENOMIC	mouse gut metagenome	2731281390				female	female	690742.0	37182.0	26.0	0.01	0.99	
ERR5416252	METAGENOMIC	Mus musculus	4476105000				male	male	696526.0	19220.0	830.0	1.0	0.0	
ERR5395694	METAGENOMIC	Mus musculus	2356714200				female	female	813230.0	43638.0	14.0	0.01	0.99	
ERR5395816	METAGENOMIC	Mus musculus	3311719000				male	male	842632.0	23788.0	1230.0	1.0	0.0	
ERR5388655	METAGENOMIC	Mus musculus	3602265200				male	male	964346.0	26705.0	1177.0	1.0	0.0	
ERR5416174	METAGENOMIC	Mus musculus	3758809000				male	male	1002840.0	27745.0	1319.0	1.0	0.0	
ERR1762096	METAGENOMIC	mouse gut metagenome	2821878794				female	female	1017934.0	53364.0	34.0	0.012	0.988	
ERR1762098	METAGENOMIC	mouse gut metagenome	2826825370				female	female	1018391.0	53930.0	40.0	0.011	0.989	
ERR1762095	METAGENOMIC	mouse gut metagenome	2833697410				female	female	1019882.0	53941.0	30.0	0.011	0.989	
ERR1762097	METAGENOMIC	mouse gut metagenome	2828563782				female	female	1020685.0	53713.0	24.0	0.012	0.988	
ERR5415061	METAGENOMIC	Mus musculus	5209450200				female	female	1044284.0	57991.0	25.0	0.008	0.992	
ERR5396015	METAGENOMIC	Mus musculus	3381831200				female	female	1150638.0	61293.0	17.0	0.011	0.989	
ERR5416045	METAGENOMIC	Mus musculus	3163104800				male	male	1420900.0	39362.0	1708.0	1.0	0.0	
ERR5396612	METAGENOMIC	Mus musculus	4642431600				male	male	1437954.0	40402.0	1994.0	1.0	0.0	
ERR5416123	METAGENOMIC	Mus musculus	5321442000				female	female	1493673.0	83828.0	26.0	0.008	0.992	
ERR5388651	METAGENOMIC	Mus musculus	4305897200				male	male	1539033.0	42946.0	2143.0	1.0	0.0	
ERR5396855	METAGENOMIC	Mus musculus	3917260800				male	male	1676049.0	47240.0	2366.0	1.0	0.0	
ERR5416253	METAGENOMIC	Mus musculus	3855582200				female	female	1840616.0	98050.0	37.0	0.011	0.989	
ERR5395818	METAGENOMIC	Mus musculus	3164029600				female	female	1931672.0	102687.0	23.0	0.011	0.989	
ERR1762092	METAGENOMIC	mouse gut metagenome	2813460242				female	female	2095510.0	109595.0	65.0	0.012	0.988	
ERR1762091	METAGENOMIC	mouse gut metagenome	2825468940				female	female	2096135.0	109744.0	47.0	0.012	0.988	
ERR1762094	METAGENOMIC	mouse gut metagenome	2817116846				female	female	2096271.0	110077.0	57.0	0.012	0.988	
ERR1762093	METAGENOMIC	mouse gut metagenome	2820641544				female	female	2097593.0	110283.0	74.0	0.012	0.988	
ERR5414702	METAGENOMIC	Mus musculus	3896521400				male	male	2179093.0	60184.0	2924.0	1.0	0.0	
ERR5395780	METAGENOMIC	Mus musculus	3026923400				male	male	2190392.0	62062.0	2743.0	1.0	0.0	
ERR5414393	METAGENOMIC	Mus musculus	2526634600				female	female	2286391.0	124147.0	67.0	0.009	0.991	
