Run	host_sex	Host_site	paper
ERR3414581	female	cecal/fecal	Glendinning
ERR3414591	male	cecal/fecal	Glendinning
ERR3414592	female	cecal/fecal	Glendinning
ERR3414572	male	cecal/fecal	Glendinning
ERR3414573	male	cecal/fecal	Glendinning
ERR3414571	female	cecal/fecal	Glendinning
ERR3414576	female	cecal/fecal	Glendinning
ERR3414574	male	cecal/fecal	Glendinning
ERR3414578	male	cecal/fecal	Glendinning
ERR3414575	female	cecal/fecal	Glendinning
ERR3414583	female	cecal/fecal	Glendinning
ERR3414577	male	cecal/fecal	Glendinning
ERR3414585	female	cecal/fecal	Glendinning
ERR3414579	male	cecal/fecal	Glendinning
ERR3414589	male	cecal/fecal	Glendinning
ERR3414590	male	cecal/fecal	Glendinning
ERR3414580	female	cecal/fecal	Glendinning
ERR3414593	female	cecal/fecal	Glendinning
ERR3414582	female	cecal/fecal	Glendinning
ERR3414584	male	cecal/fecal	Glendinning
ERR3414586	male	cecal/fecal	Glendinning
ERR3414587	male	cecal/fecal	Glendinning
ERR3414588	male	cecal/fecal	Glendinning
ERR3414594	female	cecal/fecal	Glendinning
SRR12516182	male	cecal/fecal	Kang
SRR12516181	male	cecal/fecal	Kang
SRR12516180	male	cecal/fecal	Kang
SRR12516179	male	cecal/fecal	Kang
SRR12516178	male	cecal/fecal	Kang
SRR12516177	male	cecal/fecal	Kang
SRR12516176	male	cecal/fecal	Kang
SRR12516175	male	cecal/fecal	Kang
SRR12516174	male	cecal/fecal	Kang
SRR23946453	female	cecal/fecal	Rosch
SRR23946439	female	cecal/fecal	Rosch
SRR23946427	female	cecal/fecal	Rosch
SRR23946444	female	cecal/fecal	Rosch
SRR23946445	female	cecal/fecal	Rosch
SRR23946450	female	cecal/fecal	Rosch
SRR23946452	female	cecal/fecal	Rosch
SRR23946438	female	cecal/fecal	Rosch
SRR23946425	female	cecal/fecal	Rosch
SRR23946426	female	cecal/fecal	Rosch
SRR23946461	female	cecal/fecal	Rosch
SRR23946464	female	cecal/fecal	Rosch
SRR23946430	female	cecal/fecal	Rosch
SRR23946431	female	cecal/fecal	Rosch
SRR23946449	female	cecal/fecal	Rosch
SRR23946437	female	cecal/fecal	Rosch
SRR23946424	female	cecal/fecal	Rosch
SRR23946463	female	cecal/fecal	Rosch
SRR23946460	female	cecal/fecal	Rosch
SRR23946415	female	cecal/fecal	Rosch
SRR23946447	female	cecal/fecal	Rosch
SRR23946448	female	cecal/fecal	Rosch
SRR23946436	female	cecal/fecal	Rosch
SRR23946423	female	cecal/fecal	Rosch
SRR23946451	female	cecal/fecal	Rosch
SRR23946462	female	cecal/fecal	Rosch
SRR23946459	female	cecal/fecal	Rosch
SRR23946413	female	cecal/fecal	Rosch
SRR23946414	female	cecal/fecal	Rosch
SRR23946446	female	cecal/fecal	Rosch
SRR23946435	female	cecal/fecal	Rosch
SRR23946422	female	cecal/fecal	Rosch
SRR23946440	female	cecal/fecal	Rosch
SRR23946458	female	cecal/fecal	Rosch
SRR23946411	female	cecal/fecal	Rosch
SRR23946412	female	cecal/fecal	Rosch
SRR23946443	female	cecal/fecal	Rosch
SRR23946434	female	cecal/fecal	Rosch
SRR23946420	female	cecal/fecal	Rosch
SRR23946421	female	cecal/fecal	Rosch
SRR23946429	female	cecal/fecal	Rosch
SRR23946457	female	cecal/fecal	Rosch
SRR23946409	female	cecal/fecal	Rosch
SRR23946410	female	cecal/fecal	Rosch
SRR23946442	female	cecal/fecal	Rosch
SRR23946432	female	cecal/fecal	Rosch
SRR23946433	female	cecal/fecal	Rosch
SRR23946417	female	cecal/fecal	Rosch
SRR23946419	female	cecal/fecal	Rosch
SRR23946418	female	cecal/fecal	Rosch
SRR23946407	female	cecal/fecal	Rosch
SRR23946455	female	cecal/fecal	Rosch
SRR23946456	female	cecal/fecal	Rosch
SRR23946408	female	cecal/fecal	Rosch
SRR23946406	female	cecal/fecal	Rosch
SRR23946441	female	cecal/fecal	Rosch
SRR23946428	female	cecal/fecal	Rosch
SRR23946416	female	cecal/fecal	Rosch
SRR23946404	female	cecal/fecal	Rosch
SRR23946405	female	cecal/fecal	Rosch
SRR23946454	female	cecal/fecal	Rosch
